NUMBER;ACTIVITY;LOCATION;TYPE;PLACE
1;Spare_Time/TV;Seat;Pressure;Living
2;Spare_Time/TV;Door;PIR;Living
3;Spare_Time/TV;Door;PIR;Kitchen
4;Spare_Time/TV;Door;PIR;Living
5;Spare_Time/TV;Seat;Pressure;Living
6;Spare_Time/TV;Door;PIR;Living
7;Grooming;Basin;PIR;Bathroom
8;Spare_Time/TV;Door;PIR;Living
9;Spare_Time/TV;Seat;Pressure;Living
10;Grooming;Basin;PIR;Bathroom
11;Toileting;Toilet;Flush;Bathroom
12;Toileting;Door;PIR;Bedroom
13;Sleeping;Bed;Pressure;Bedroom
14;Sleeping;Door;PIR;Bedroom
15;Toileting;Toilet;Flush;Bathroom
16;Breakfast;Door;PIR;Kitchen
17;Breakfast;Fridge;Magnetic;Kitchen
18;Breakfast;Microwave;Electric;Kitchen
19;Breakfast;Door;PIR;Kitchen
20;Spare_Time/TV;Door;PIR;Bedroom
21;Spare_Time/TV;Door;PIR;Living
22;Spare_Time/TV;Seat;Pressure;Living
23;Spare_Time/TV;Door;PIR;Living
24;Grooming;Basin;PIR;Bathroom
25;Showering;Shower;PIR;Bathroom
26;Grooming;Basin;PIR;Bathroom
27;Toileting;Toilet;Flush;Bathroom
28;Grooming;Basin;PIR;Bathroom
29;Grooming;Basin;PIR;Bathroom
30;Spare_Time/TV;Door;PIR;Living
31;Spare_Time/TV;Door;PIR;Living
32;Snack;Door;PIR;Kitchen
33;Snack;Fridge;Magnetic;Kitchen
34;Snack;Microwave;Electric;Kitchen
35;Snack;Door;PIR;Kitchen
36;Snack;Door;PIR;Kitchen
37;Snack;Fridge;Magnetic;Kitchen
38;Snack;Fridge;Magnetic;Kitchen
39;Snack;Door;PIR;Kitchen
40;Toileting;Door;PIR;Bedroom
41;Toileting;Toilet;Flush;Bathroom
42;Toileting;Toilet;Flush;Bathroom
43;Grooming;Basin;PIR;Bathroom
44;Grooming;Basin;PIR;Bathroom
45;Spare_Time/TV;Door;PIR;Living
46;Spare_Time/TV;Door;PIR;Living
47;Lunch;Door;PIR;Kitchen
48;Lunch;Fridge;Magnetic;Kitchen
49;Lunch;Door;PIR;Kitchen
50;Lunch;Door;PIR;Living
51;Lunch;Door;PIR;Living
52;Lunch;Door;PIR;Kitchen
53;Lunch;Cupboard;Magnetic;Kitchen
54;Lunch;Cupboard;Magnetic;Kitchen
55;Lunch;Door;PIR;Kitchen
56;Lunch;Door;PIR;Living
57;Lunch;Door;PIR;Living
58;Lunch;Door;PIR;Kitchen
59;Lunch;Cupboard;Magnetic;Kitchen
60;Lunch;Door;PIR;Kitchen
61;Spare_Time/TV;Door;PIR;Living
62;Spare_Time/TV;Door;PIR;Living
63;Snack;Door;PIR;Kitchen
64;Snack;Cupboard;Magnetic;Kitchen
65;Snack;Door;PIR;Kitchen
66;Toileting;Toilet;Flush;Bathroom
67;Grooming;Basin;PIR;Bathroom
68;Spare_Time/TV;Door;PIR;Living
69;Spare_Time/TV;Seat;Pressure;Living
70;Spare_Time/TV;Door;PIR;Living
71;Leaving;Maindoor;Magnetic;Entrance
72;Leaving;Maindoor;Magnetic;Entrance
73;Spare_Time/TV;Door;PIR;Living
74;Spare_Time/TV;Door;PIR;Living
75;Spare_Time/TV;Door;PIR;Kitchen
76;Spare_Time/TV;Door;PIR;Kitchen
77;Spare_Time/TV;Door;PIR;Living
78;Toileting;Toilet;Flush;Bathroom
79;Grooming;Basin;PIR;Bathroom
80;Spare_Time/TV;Seat;Pressure;Living
81;Snack;Door;PIR;Kitchen
82;Snack;Fridge;Magnetic;Kitchen
83;Snack;Microwave;Electric;Kitchen
84;Snack;Door;PIR;Kitchen
85;Spare_Time/TV;Door;PIR;Living
86;Spare_Time/TV;Seat;Pressure;Living
87;Spare_Time/TV;Door;PIR;Living
88;Spare_Time/TV;Door;PIR;Living
89;Spare_Time/TV;Door;PIR;Living
90;Grooming;Basin;PIR;Bathroom
91;Dinner;Door;PIR;Kitchen
92;Dinner;Cupboard;Magnetic;Kitchen
93;Dinner;Door;PIR;Kitchen
94;Grooming;Basin;PIR;Bathroom
95;Spare_Time/TV;Door;PIR;Living
96;Spare_Time/TV;Seat;Pressure;Living
97;Spare_Time/TV;Door;PIR;Living
98;Toileting;Door;PIR;Bedroom
99;Toileting;Toilet;Flush;Bathroom
100;Spare_Time/TV;Door;PIR;Living
101;Spare_Time/TV;Seat;Pressure;Living
102;Grooming;Basin;PIR;Bathroom
103;Sleeping;Bed;Pressure;Bedroom
104;Breakfast;Door;PIR;Kitchen
105;Breakfast;Fridge;Magnetic;Kitchen
106;Breakfast;Microwave;Electric;Kitchen
107;Breakfast;Fridge;Magnetic;Kitchen
108;Breakfast;Door;PIR;Kitchen
109;Grooming;Basin;PIR;Bathroom
110;Toileting;Toilet;Flush;Bathroom
111;Grooming;Basin;PIR;Bathroom
112;Grooming;Basin;PIR;Bathroom
113;Grooming;Basin;PIR;Bathroom
114;Leaving;Maindoor;Magnetic;Entrance
115;Leaving;Maindoor;Magnetic;Entrance
116;Snack;Door;PIR;Kitchen
117;Snack;Fridge;Magnetic;Kitchen
118;Snack;Door;PIR;Kitchen
119;Snack;Door;PIR;Kitchen
120;Snack;Door;PIR;Kitchen
121;Leaving;Maindoor;Magnetic;Entrance
122;Leaving;Maindoor;Magnetic;Entrance
123;Snack;Door;PIR;Kitchen
124;Snack;Fridge;Magnetic;Kitchen
125;Snack;Fridge;Magnetic;Kitchen
126;Snack;Door;PIR;Kitchen
127;Toileting;Toilet;Flush;Bathroom
128;Lunch;Door;PIR;Kitchen
129;Lunch;Door;PIR;Kitchen
130;Lunch;Door;PIR;Kitchen
131;Lunch;Cupboard;Magnetic;Kitchen
132;Lunch;Fridge;Magnetic;Kitchen
133;Lunch;Cupboard;Magnetic;Kitchen
134;Lunch;Door;PIR;Kitchen
135;Lunch;Door;PIR;Living
136;Lunch;Door;PIR;Living
137;Lunch;Door;PIR;Kitchen
138;Lunch;Door;PIR;Kitchen
139;Spare_Time/TV;Door;PIR;Living
140;Spare_Time/TV;Seat;Pressure;Living
141;Spare_Time/TV;Door;PIR;Living
142;Toileting;Toilet;Flush;Bathroom
143;Spare_Time/TV;Door;PIR;Living
144;Spare_Time/TV;Door;PIR;Living
145;Spare_Time/TV;Seat;Pressure;Living
146;Spare_Time/TV;Door;PIR;Living
147;Snack;Door;PIR;Kitchen
148;Snack;Door;PIR;Kitchen
149;Spare_Time/TV;Door;PIR;Living
150;Spare_Time/TV;Seat;Pressure;Living
151;Spare_Time/TV;Door;PIR;Living
152;Spare_Time/TV;Door;PIR;Living
153;Spare_Time/TV;Seat;Pressure;Living
154;Spare_Time/TV;Door;PIR;Living
155;Spare_Time/TV;Door;PIR;Living
156;Spare_Time/TV;Seat;Pressure;Living
157;Spare_Time/TV;Door;PIR;Living
158;Snack;Door;PIR;Kitchen
159;Snack;Door;PIR;Kitchen
160;Snack;Door;PIR;Kitchen
161;Toileting;Toilet;Flush;Bathroom
162;Spare_Time/TV;Door;PIR;Living
163;Spare_Time/TV;Seat;Pressure;Living
164;Spare_Time/TV;Door;PIR;Living
165;Spare_Time/TV;Door;PIR;Bedroom
166;Spare_Time/TV;Door;PIR;Bedroom
167;Spare_Time/TV;Door;PIR;Living
168;Spare_Time/TV;Door;PIR;Living
169;Dinner;Door;PIR;Kitchen
170;Dinner;Microwave;Electric;Kitchen
171;Dinner;Door;PIR;Kitchen
172;Grooming;Basin;PIR;Bathroom
173;Spare_Time/TV;Door;PIR;Living
174;Spare_Time/TV;Seat;Pressure;Living
175;Spare_Time/TV;Door;PIR;Living
176;Grooming;Basin;PIR;Bathroom
177;Toileting;Toilet;Flush;Bathroom
178;Toileting;Door;PIR;Bedroom
179;Sleeping;Bed;Pressure;Bedroom
180;Grooming;Basin;PIR;Bathroom
181;Sleeping;Bed;Pressure;Bedroom
182;Sleeping;Door;PIR;Bedroom
183;Toileting;Toilet;Flush;Bathroom
184;Toileting;Door;PIR;Bedroom
185;Toileting;Door;PIR;Bedroom
186;Breakfast;Door;PIR;Kitchen
187;Breakfast;Fridge;Magnetic;Kitchen
188;Breakfast;Microwave;Electric;Kitchen
189;Breakfast;Microwave;Electric;Kitchen
190;Breakfast;Door;PIR;Kitchen
191;Spare_Time/TV;Door;PIR;Bedroom
192;Spare_Time/TV;Door;PIR;Bedroom
193;Spare_Time/TV;Door;PIR;Living
194;Spare_Time/TV;Seat;Pressure;Living
195;Spare_Time/TV;Door;PIR;Living
196;Spare_Time/TV;Door;PIR;Kitchen
197;Breakfast;Fridge;Magnetic;Kitchen
198;Breakfast;Door;PIR;Kitchen
199;Breakfast;Door;PIR;Kitchen
200;Breakfast;Cupboard;Magnetic;Kitchen
201;Breakfast;Door;PIR;Kitchen
202;Spare_Time/TV;Door;PIR;Living
203;Spare_Time/TV;Seat;Pressure;Living
204;Spare_Time/TV;Door;PIR;Living
205;Spare_Time/TV;Door;PIR;Living
206;Spare_Time/TV;Seat;Pressure;Living
207;Spare_Time/TV;Door;PIR;Living
208;Grooming;Basin;PIR;Bathroom
209;Showering;Shower;PIR;Bathroom
210;Grooming;Basin;PIR;Bathroom
211;Grooming;Basin;PIR;Bathroom
212;Grooming;Basin;PIR;Bathroom
213;Spare_Time/TV;Door;PIR;Living
214;Spare_Time/TV;Door;PIR;Living
215;Spare_Time/TV;Door;PIR;Bedroom
216;Spare_Time/TV;Door;PIR;Bedroom
217;Spare_Time/TV;Door;PIR;Living
218;Spare_Time/TV;Seat;Pressure;Living
219;Spare_Time/TV;Door;PIR;Living
220;Spare_Time/TV;Maindoor;Magnetic;Entrance
221;Leaving;Maindoor;Magnetic;Entrance
222;Leaving;Door;PIR;Living
223;Leaving;Door;PIR;Living
224;Leaving;Door;PIR;Kitchen
225;Leaving;Door;PIR;Kitchen
226;Leaving;Maindoor;Magnetic;Entrance
227;Leaving;Maindoor;Magnetic;Entrance
228;Toileting;Toilet;Flush;Bathroom
229;Toileting;Basin;PIR;Bathroom
230;Grooming;Door;PIR;Living
231;Leaving;Maindoor;Magnetic;Entrance
232;Leaving;Maindoor;Magnetic;Entrance
233;Leaving;Door;PIR;Living
234;Spare_Time/TV;Door;PIR;Living
235;Spare_Time/TV;Seat;Pressure;Living
236;Spare_Time/TV;Door;PIR;Living
237;Spare_Time/TV;Door;PIR;Living
238;Spare_Time/TV;Seat;Pressure;Living
239;Spare_Time/TV;Door;PIR;Living
240;Spare_Time/TV;Door;PIR;Living
241;Spare_Time/TV;Door;PIR;Living
242;Spare_Time/TV;Door;PIR;Kitchen
243;Dinner;Microwave;Electric;Kitchen
244;Dinner;Cupboard;Magnetic;Kitchen
245;Dinner;Door;PIR;Kitchen
246;Dinner;Door;PIR;Living
247;Dinner;Door;PIR;Living
248;Dinner;Door;PIR;Kitchen
249;Dinner;Microwave;Electric;Kitchen
250;Dinner;Fridge;Magnetic;Kitchen
251;Dinner;Fridge;Magnetic;Kitchen
252;Dinner;Door;PIR;Kitchen
253;Dinner;Door;PIR;Living
254;Spare_Time/TV;Seat;Pressure;Living
255;Spare_Time/TV;Door;PIR;Living
256;Spare_Time/TV;Door;PIR;Kitchen
257;Snack;Fridge;Magnetic;Kitchen
258;Snack;Door;PIR;Kitchen
259;Spare_Time/TV;Door;PIR;Living
260;Spare_Time/TV;Seat;Pressure;Living
261;Spare_Time/TV;Door;PIR;Living
262;Spare_Time/TV;Door;PIR;Kitchen
263;Spare_Time/TV;Door;PIR;Kitchen
264;Spare_Time/TV;Door;PIR;Living
265;Spare_Time/TV;Seat;Pressure;Living
266;Spare_Time/TV;Door;PIR;Living
267;Grooming;Basin;PIR;Bathroom
268;Toileting;Toilet;Flush;Bathroom
269;Toileting;Basin;PIR;Bathroom
270;Grooming;Door;PIR;Bedroom
271;Sleeping;Bed;Pressure;Bedroom
272;Sleeping;Door;PIR;Bedroom
273;Sleeping;Door;PIR;Bedroom
274;Sleeping;Bed;Pressure;Bedroom
275;Sleeping;Door;PIR;Bedroom
276;Sleeping;Door;PIR;Living
277;Spare_Time/TV;Seat;Pressure;Living
278;Spare_Time/TV;Door;PIR;Living
279;Sleeping;Door;PIR;Bedroom
280;Sleeping;Bed;Pressure;Bedroom
281;Sleeping;Door;PIR;Bedroom
282;Toileting;Toilet;Flush;Bathroom
283;Sleeping;Door;PIR;Bedroom
284;Sleeping;Bed;Pressure;Bedroom
285;Sleeping;Door;PIR;Bedroom
286;Breakfast;Door;PIR;Living
287;Breakfast;Door;PIR;Kitchen
288;Breakfast;Fridge;Magnetic;Kitchen
289;Breakfast;Microwave;Electric;Kitchen
290;Breakfast;Door;PIR;Kitchen
291;Breakfast;Door;PIR;Living
292;Breakfast;Door;PIR;Living
293;Snack;Door;PIR;Kitchen
294;Snack;Door;PIR;Kitchen
295;Spare_Time/TV;Seat;Pressure;Living
296;Leaving;Maindoor;Magnetic;Entrance
297;Leaving;Maindoor;Magnetic;Entrance
298;Leaving;Door;PIR;Kitchen
299;Leaving;Door;PIR;Kitchen
300;Leaving;Door;PIR;Living
301;Spare_Time/TV;Seat;Pressure;Living
302;Lunch;Door;PIR;Living
303;Lunch;Door;PIR;Kitchen
304;Lunch;Cupboard;Magnetic;Kitchen
305;Lunch;Door;PIR;Kitchen
306;Lunch;Door;PIR;Living
307;Lunch;Door;PIR;Living
308;Lunch;Door;PIR;Kitchen
309;Lunch;Fridge;Magnetic;Kitchen
310;Lunch;Door;PIR;Kitchen
311;Lunch;Door;PIR;Living
312;Lunch;Door;PIR;Living
313;Lunch;Door;PIR;Kitchen
314;Lunch;Fridge;Magnetic;Kitchen
315;Lunch;Door;PIR;Kitchen
316;Lunch;Door;PIR;Living
317;Leaving;Door;PIR;Living
318;Leaving;Maindoor;Magnetic;Entrance
319;Leaving;Maindoor;Magnetic;Entrance
320;Snack;Door;PIR;Kitchen
321;Snack;Door;PIR;Kitchen
322;Snack;Door;PIR;Living
323;Dinner;Door;PIR;Living
324;Dinner;Door;PIR;Kitchen
325;Dinner;Microwave;Electric;Kitchen
326;Dinner;Cupboard;Magnetic;Kitchen
327;Dinner;Door;PIR;Kitchen
328;Dinner;Door;PIR;Living
329;Dinner;Door;PIR;Living
330;Dinner;Door;PIR;Kitchen
331;Dinner;Door;PIR;Kitchen
332;Dinner;Door;PIR;Living
333;Dinner;Door;PIR;Living
334;Dinner;Basin;PIR;Bathroom
335;Dinner;Toilet;Flush;Bathroom
336;Dinner;Basin;PIR;Bathroom
337;Dinner;Door;PIR;Living
338;Dinner;Door;PIR;Living
339;Dinner;Door;PIR;Bedroom
340;Dinner;Bed;Pressure;Bedroom
341;Dinner;Door;PIR;Bedroom
342;Dinner;Door;PIR;Living
343;Dinner;Door;PIR;Living
344;Dinner;Door;PIR;Kitchen
345;Dinner;Fridge;Magnetic;Kitchen
346;Dinner;Microwave;Electric;Kitchen
347;Dinner;Door;PIR;Kitchen
348;Dinner;Shower;PIR;Bathroom
349;Dinner;Basin;PIR;Bathroom
350;Dinner;Basin;PIR;Bathroom
351;Dinner;Door;PIR;Bedroom
352;Dinner;Door;PIR;Bedroom
353;Dinner;Basin;PIR;Bathroom
354;Dinner;Door;PIR;Living
355;Dinner;Door;PIR;Living
356;Dinner;Door;PIR;Kitchen
357;Dinner;Fridge;Magnetic;Kitchen
358;Dinner;Door;PIR;Kitchen
359;Dinner;Maindoor;Magnetic;Entrance
360;Dinner;Maindoor;Magnetic;Entrance
361;Dinner;Door;PIR;Bedroom
362;Dinner;Door;PIR;Bedroom
363;Dinner;Door;PIR;Living
364;Dinner;Seat;Pressure;Living
365;Dinner;Door;PIR;Living
366;Dinner;Door;PIR;Kitchen
367;Dinner;Door;PIR;Kitchen
368;Dinner;Door;PIR;Living
369;Dinner;Door;PIR;Living
370;Dinner;Door;PIR;Kitchen
371;Dinner;Cupboard;Magnetic;Kitchen
372;Dinner;Door;PIR;Kitchen
373;Dinner;Door;PIR;Living
374;Dinner;Door;PIR;Living
375;Dinner;Door;PIR;Kitchen
376;Dinner;Door;PIR;Kitchen
377;Dinner;Door;PIR;Living
378;Dinner;Door;PIR;Living
379;Dinner;Door;PIR;Kitchen
380;Dinner;Door;PIR;Kitchen
381;Dinner;Door;PIR;Living
382;Dinner;Door;PIR;Living
383;Dinner;Door;PIR;Kitchen
384;Dinner;Door;PIR;Kitchen
385;Dinner;Toilet;Flush;Bathroom
386;Dinner;Door;PIR;Bedroom
387;Dinner;Door;PIR;Bedroom
388;Dinner;Door;PIR;Living
389;Dinner;Door;PIR;Living
390;Dinner;Maindoor;Magnetic;Entrance
391;Dinner;Maindoor;Magnetic;Entrance
392;Dinner;Door;PIR;Living
393;Dinner;Door;PIR;Living
394;Dinner;Toilet;Flush;Bathroom
395;Dinner;Door;PIR;Living
396;Dinner;Door;PIR;Living
397;Dinner;Door;PIR;Kitchen
398;Dinner;Microwave;Electric;Kitchen
399;Dinner;Fridge;Magnetic;Kitchen
400;Dinner;Door;PIR;Kitchen
401;Dinner;Door;PIR;Living
402;Dinner;Seat;Pressure;Living
403;Dinner;Door;PIR;Living
404;Dinner;Door;PIR;Kitchen
405;Dinner;Door;PIR;Kitchen
406;Dinner;Door;PIR;Living
407;Dinner;Seat;Pressure;Living
408;Dinner;Door;PIR;Living
409;Dinner;Door;PIR;Kitchen
410;Dinner;Door;PIR;Kitchen
411;Dinner;Door;PIR;Living
412;Dinner;Seat;Pressure;Living
413;Dinner;Door;PIR;Living
414;Dinner;Door;PIR;Living
415;Dinner;Door;PIR;Living
416;Dinner;Basin;PIR;Bathroom
417;Dinner;Door;PIR;Living
418;Dinner;Door;PIR;Living
419;Dinner;Maindoor;Magnetic;Entrance
420;Breakfast;Maindoor;Magnetic;Entrance
421;Breakfast;Door;PIR;Bedroom
422;Breakfast;Door;PIR;Bedroom
423;Breakfast;Door;PIR;Living
424;Breakfast;Door;PIR;Living
425;Breakfast;Basin;PIR;Bathroom
426;Breakfast;Toilet;Flush;Bathroom
427;Breakfast;Basin;PIR;Bathroom
428;Breakfast;Door;PIR;Bedroom
429;Breakfast;Bed;Pressure;Bedroom
430;Breakfast;Door;PIR;Bedroom
431;Breakfast;Toilet;Flush;Bathroom
432;Breakfast;Door;PIR;Living
433;Breakfast;Door;PIR;Living
434;Breakfast;Door;PIR;Kitchen
435;Breakfast;Fridge;Magnetic;Kitchen
436;Breakfast;Fridge;Magnetic;Kitchen
437;Breakfast;Microwave;Electric;Kitchen
438;Breakfast;Door;PIR;Kitchen
439;Breakfast;Door;PIR;Bedroom
440;Breakfast;Door;PIR;Bedroom
441;Breakfast;Shower;PIR;Bathroom
442;Breakfast;Basin;PIR;Bathroom
443;Breakfast;Basin;PIR;Bathroom
444;Breakfast;Door;PIR;Bedroom
445;Breakfast;Door;PIR;Bedroom
446;Breakfast;Basin;PIR;Bathroom
447;Showering;Door;PIR;Bedroom
448;Showering;Door;PIR;Bedroom
449;Showering;Maindoor;Magnetic;Entrance
450;Spare_Time/TV;Maindoor;Magnetic;Entrance
451;Spare_Time/TV;Door;PIR;Living
452;Spare_Time/TV;Door;PIR;Living
453;Spare_Time/TV;Door;PIR;Bedroom
454;Spare_Time/TV;Door;PIR;Bedroom
455;Spare_Time/TV;Door;PIR;Bedroom
456;Spare_Time/TV;Door;PIR;Bedroom
457;Spare_Time/TV;Basin;PIR;Bathroom
458;Spare_Time/TV;Door;PIR;Bedroom
459;Spare_Time/TV;Door;PIR;Bedroom
460;Spare_Time/TV;Door;PIR;Living
461;Lunch;Seat;Pressure;Living
462;Lunch;Door;PIR;Living
463;Lunch;Door;PIR;Kitchen
464;Lunch;Door;PIR;Kitchen
465;Lunch;Door;PIR;Living
466;Lunch;Seat;Pressure;Living
467;Toileting;Door;PIR;Living
468;Toileting;Door;PIR;Living
469;Toileting;Door;PIR;Living
470;Toileting;Door;PIR;Bedroom
471;Toileting;Door;PIR;Bedroom
472;Toileting;Maindoor;Magnetic;Entrance
473;Toileting;Maindoor;Magnetic;Entrance
474;Toileting;Door;PIR;Bedroom
475;Toileting;Door;PIR;Bedroom
476;Toileting;Toilet;Flush;Bathroom
477;Toileting;Basin;PIR;Bathroom
478;Toileting;Door;PIR;Living
479;Toileting;Door;PIR;Living
480;Toileting;Door;PIR;Kitchen
481;Toileting;Door;PIR;Kitchen
482;Toileting;Door;PIR;Living
483;Toileting;Seat;Pressure;Living
484;Toileting;Door;PIR;Living
485;Toileting;Door;PIR;Kitchen
486;Toileting;Door;PIR;Kitchen
487;Toileting;Door;PIR;Living
488;Toileting;Door;PIR;Living
489;Toileting;Door;PIR;Bedroom
490;Toileting;Door;PIR;Bedroom
